#Début du fichierTime: 1599991551, Commandes: 0
Time: 1599991556, Commandes: 0
Time: 1599991561, Commandes: 1
Time: 1599991566, Commandes: 1
Time: 1599991571, Commandes: 1
Time: 1599991576, Commandes: 1
Time: 1599991581, Commandes: 1
Time: 1599991586, Commandes: 1
Time: 1599991591, Commandes: 1
Time: 1599991596, Commandes: 1
Time: 1599991601, Commandes: 1
Time: 1599991606, Commandes: 2
Time: 1599991611, Commandes: 2
Time: 1599991616, Commandes: 2
Time: 1599991621, Commandes: 2
Time: 1599991626, Commandes: 2
Time: 1599991631, Commandes: 2
Time: 1599991636, Commandes: 2
Time: 1599991641, Commandes: 2
Time: 1599991646, Commandes: 2
Time: 1599991651, Commandes: 2
Time: 1599991656, Commandes: 2
Time: 1599991661, Commandes: 2
Time: 1599991666, Commandes: 2
Time: 1599991671, Commandes: 2
Time: 1599991676, Commandes: 2
Time: 1599991681, Commandes: 2
Time: 1599991686, Commandes: 2
Time: 1599991691, Commandes: 2
Time: 1599991696, Commandes: 2
Time: 1599991701, Commandes: 2
Time: 1599991706, Commandes: 2
Time: 1599991711, Commandes: 2
Time: 1599991716, Commandes: 2
Time: 1599991721, Commandes: 2
Time: 1599991726, Commandes: 2
Time: 1599991731, Commandes: 2
Time: 1599991736, Commandes: 2
Time: 1599991741, Commandes: 2
Time: 1599991746, Commandes: 2
Time: 1599991751, Commandes: 2
Time: 1599991756, Commandes: 2
Time: 1599991761, Commandes: 2
Time: 1599991766, Commandes: 2
Time: 1599991771, Commandes: 2
Time: 1599991776, Commandes: 2
Time: 1599991781, Commandes: 2
Time: 1599991786, Commandes: 2
Time: 1599991791, Commandes: 2
Time: 1599991796, Commandes: 2
Time: 1599991801, Commandes: 2
Time: 1599991806, Commandes: 2
Time: 1599991811, Commandes: 2
Time: 1599991816, Commandes: 2
Time: 1599991821, Commandes: 2
Time: 1599991826, Commandes: 2
Time: 1599991831, Commandes: 2
Time: 1599991836, Commandes: 2
Time: 1599991841, Commandes: 2
Time: 1599991846, Commandes: 2
Time: 1599991851, Commandes: 2
Time: 1599991856, Commandes: 2
Time: 1599991861, Commandes: 2
Time: 1599991866, Commandes: 2
Time: 1599991871, Commandes: 2
Time: 1599991876, Commandes: 2
Time: 1599991881, Commandes: 2
Time: 1599991886, Commandes: 2
Time: 1599991891, Commandes: 2
Time: 1599991896, Commandes: 2
Time: 1599991901, Commandes: 2
Time: 1599991906, Commandes: 2
Time: 1599991911, Commandes: 2
Time: 1599991916, Commandes: 2
Time: 1599991921, Commandes: 2
Time: 1599991926, Commandes: 2
Time: 1599991931, Commandes: 2
Time: 1599991936, Commandes: 2
Time: 1599991941, Commandes: 2
Time: 1599991946, Commandes: 2
Time: 1599991951, Commandes: 2
Time: 1599991956, Commandes: 2
Time: 1599991961, Commandes: 2
Time: 1599991966, Commandes: 2
Time: 1599991971, Commandes: 2
Time: 1599991976, Commandes: 2
Time: 1599991981, Commandes: 2
Time: 1599991986, Commandes: 2
Time: 1599991991, Commandes: 2
Time: 1599991996, Commandes: 2
Time: 1599992001, Commandes: 2
Time: 1599992006, Commandes: 2
Time: 1599992011, Commandes: 2
Time: 1599992016, Commandes: 2
Time: 1599992021, Commandes: 2
Time: 1599992026, Commandes: 2
Time: 1599992031, Commandes: 2
Time: 1599992044, Commandes: 0
Time: 1599992049, Commandes: 0
Time: 1599992054, Commandes: 0
Time: 1599992059, Commandes: 1
Time: 1599992064, Commandes: 2
Time: 1599992069, Commandes: 2
Time: 1599992074, Commandes: 3
Time: 1599992079, Commandes: 3
Time: 1599992084, Commandes: 3
Time: 1599992089, Commandes: 3
Time: 1599992094, Commandes: 3
Time: 1599992099, Commandes: 3
Time: 1599992104, Commandes: 3
Time: 1599992109, Commandes: 3
Time: 1599992114, Commandes: 4
Time: 1599992119, Commandes: 5
Time: 1599992124, Commandes: 5
Time: 1599992129, Commandes: 5
Time: 1599992134, Commandes: 5
Time: 1599992139, Commandes: 5
Time: 1599992144, Commandes: 5
Time: 1599992149, Commandes: 5
Time: 1599992154, Commandes: 5
Time: 1599992159, Commandes: 5
Time: 1599992164, Commandes: 5
Time: 1599992169, Commandes: 5
Time: 1599992174, Commandes: 5
Time: 1599992179, Commandes: 5
Time: 1599992184, Commandes: 5
Time: 1599992189, Commandes: 5
Time: 1599992194, Commandes: 5
Time: 1599992199, Commandes: 5
Time: 1599992204, Commandes: 5
Time: 1599992209, Commandes: 5
Time: 1599992214, Commandes: 5
Time: 1599992219, Commandes: 5
Time: 1599992224, Commandes: 5
Time: 1599992229, Commandes: 5
Time: 1599992234, Commandes: 5
Time: 1599992239, Commandes: 5
Time: 1599992244, Commandes: 5
Time: 1599992249, Commandes: 5
Time: 1599992254, Commandes: 5
Time: 1599992259, Commandes: 5
Time: 1599992264, Commandes: 5
Time: 1599992269, Commandes: 5
Time: 1599992275, Commandes: 5
Time: 1599992280, Commandes: 5
